,0
1635,9.0
1636,14.0
1637,8.0
1638,20.0
1639,17.0
1640,9.0
1641,14.0
1642,14.0
1643,12.0
1644,16.0
1645,20.0
1646,7.0
1647,21.0
1648,5.0
1649,11.0
1650,9.0
1651,9.0
1652,15.0
1653,17.0
1654,18.0
1655,15.0
1656,20.0
1657,16.0
1658,17.0
1659,16.0
1660,18.0
1661,19.0
1662,15.0
1663,18.0
1664,17.0
1665,16.0
1666,18.0
1667,12.0
1668,9.0
1669,13.0
1670,22.0
1671,25.0
1672,14.0
1673,15.0
1674,21.0
1675,11.0
1676,11.0
1677,11.0
1678,14.0
1679,18.0
1680,14.0
1681,17.0
1682,14.0
1683,17.0
1684,13.0
1685,13.0
1686,17.0
1687,16.0
1688,10.0
1689,16.0
1690,8.0
1691,15.0
1692,19.0
1693,13.0
1694,16.0
1695,19.0
1696,17.0
1697,16.0
1698,10.0
1699,16.0
1700,9.0
1701,15.0
1702,14.0
1703,12.0
1704,13.0
1705,19.0
1706,19.0
1707,13.0
1708,21.0
1709,14.0
1710,18.0
1711,15.0
1712,14.0
1713,20.0
1714,6.0
1715,17.0
1716,16.0
1717,12.0
1718,13.0
1719,11.0
1720,12.0
1721,17.0
1722,17.0
1723,11.0
1724,16.0
1725,15.0
1726,18.0
1727,12.0
1728,20.0
1729,11.0
1730,14.0
1731,16.0
1732,15.0
1733,13.0
1734,19.0
1735,20.0
1736,21.0
1737,21.0
1738,22.0
1739,11.0
1740,19.0
1741,19.0
1742,22.0
1743,7.0
1744,12.0
1745,20.0
1746,13.0
1747,17.0
1748,12.0
1749,15.0
1750,9.0
1751,15.0
1752,12.0
1753,18.0
1754,14.0
1755,15.0
1756,7.0
1757,24.0
1758,17.0
1759,19.0
1760,9.0
1761,15.0
1762,16.0
1763,15.0
1764,14.0
1765,10.0
1766,3.0
1767,13.0
1768,17.0
1769,4.0
1770,20.0
1771,24.0
1772,22.0
1773,12.0
1774,12.0
1775,18.0
1776,21.0
1777,10.0
1778,19.0
1779,11.0
1780,17.0
1781,10.0
1782,18.0
1783,14.0
1784,4.0
1785,15.0
1786,12.0
1787,8.0
1788,13.0
1789,5.0
1790,20.0
1791,15.0
1792,17.0
1793,14.0
1794,17.0
1795,16.0
1796,16.0
1797,14.0
1798,5.0
1799,4.0
1800,17.0
1801,18.0
1802,17.0
1803,10.0
1804,20.0
1805,14.0
1806,12.0
1807,13.0
1808,3.0
1809,15.0
1810,21.0
1811,12.0
1812,19.0
1813,11.0
1814,12.0
1815,17.0
1816,16.0
1817,8.0
1818,15.0
1819,10.0
1820,19.0
1821,11.0
1822,13.0
1823,13.0
1824,12.0
1825,14.0
1826,13.0
1827,20.0
1828,17.0
1829,14.0
1830,15.0
1831,13.0
1832,11.0
1833,19.0
1834,11.0
1835,17.0
1836,12.0
1837,14.0
1838,11.0
1839,12.0
1840,21.0
1841,16.0
1842,10.0
1843,15.0
1844,11.0
1845,11.0
1846,12.0
1847,14.0
1848,15.0
1849,10.0
1850,9.0
1851,14.0
1852,18.0
1853,13.0
1854,15.0
1855,16.0
1856,12.0
1857,16.0
1858,17.0
1859,12.0
1860,9.0
1861,17.0
1862,7.0
1863,7.0
1864,21.0
1865,9.0
1866,13.0
1867,19.0
1868,12.0
1869,14.0
1870,13.0
1871,14.0
1872,16.0
1873,12.0
1874,13.0
1875,13.0
1876,15.0
1877,20.0
1878,6.0
1879,20.0
1880,20.0
1881,2.0
1882,14.0
1883,15.0
1884,11.0
1885,13.0
1886,19.0
1887,11.0
1888,16.0
1889,13.0
1890,16.0
1891,14.0
1892,17.0
1893,16.0
1894,15.0
1895,2.0
1896,19.0
1897,15.0
1898,14.0
1899,13.0
1900,11.0
1901,16.0
1902,9.0
1903,16.0
1904,8.0
1905,17.0
1906,18.0
1907,21.0
1908,17.0
1909,10.0
1910,9.0
1911,12.0
1912,17.0
1913,23.0
1914,18.0
1915,6.0
1916,11.0
1917,23.0
1918,13.0
1919,17.0
1920,11.0
1921,9.0
1922,13.0
1923,13.0
1924,15.0
1925,12.0
1926,18.0
1927,16.0
1928,16.0
1929,9.0
1930,19.0
1931,16.0
1932,16.0
1933,14.0
1934,17.0
1935,20.0
1936,14.0
1937,8.0
1938,20.0
1939,18.0
1940,17.0
1941,14.0
1942,13.0
1943,15.0
1944,14.0
1945,12.0
1946,18.0
1947,18.0
1948,13.0
1949,19.0
1950,7.0
1951,15.0
1952,19.0
1953,16.0
1954,16.0
1955,8.0
1956,15.0
1957,17.0
1958,15.0
1959,20.0
1960,15.0
1961,14.0
1962,14.0
1963,15.0
1964,20.0
1965,21.0
1966,11.0
1967,16.0
1968,12.0
1969,12.0
1970,11.0
1971,8.0
1972,12.0
1973,17.0
1974,8.0
1975,9.0
1976,15.0
1977,3.0
1978,19.0
1979,24.0
1980,21.0
1981,15.0
1982,13.0
1983,16.0
1984,17.0
1985,10.0
1986,17.0
1987,12.0
1988,15.0
1989,10.0
1990,23.0
1991,16.0
1992,17.0
1993,20.0
1994,15.0
1995,12.0
1996,17.0
1997,18.0
1998,7.0
1999,16.0
